,oid,timestamp,rpid,uid,uname,content,likes,replies
1217,1451459580,1709791596,211324346384,5210707,流浪的蚂蚱,一个人同时做到了工程师和科学家的顶端,2,0
914,1451459580,1709847746,211416932784,485825496,常大昱,不如龙晶陶瓷[给心心][给心心][给心心][给心心],0,1
104,1451459580,1711517801,214197279600,173539643,JreenHao,基于壳不就解决了么,0,0
1182,1451459580,1709797906,211334588320,364654732,秋风凛冽OvO,寒假前才学完半导体，在上个学期学的固体物理，个人感觉这个视频很适合作为帮助理解用，动画非常的形象，看完了再学基本就剩下模型和公式了,17,1
490,1451459580,1710123759,211878229856,1071654978,WASM-JD,我家就有蓝色的LED,0,1
1935,1451459580,1709702016,211185069840,523100759,提里奥爔,第一节半导体物理课，老师就放了这个视频[星星眼]把几年前不太明白的PN结和其他一些知识都整明白了,11,0
1106,1451459580,1709811014,211361505552,2134039854,ナイスナイス,@LovelyFunny,0,0
1792,1451459580,1709723069,211224108208,3493083123550867,章鱼屑丸仔,太早啦啦啦啦啦啦,0,0
1352,1451459580,1709778232,211298206736,7108655,西方烟白,"有一个技术出身的人当老板，对于技术人员来说真的是一件幸事。
我从毕业参加工作后就一直这么坚信。
工作后入职的几家公司，只遇到过一个非技术出身但是对待技术员工很信任和尊重意见的上司。",3036,46
60,1451459580,1711952261,214926403008,290029097,小黑Demotruck,现在连紫外LED都已经出来了,0,0
1967,1451459580,1709699039,211178325120,199433710,宇哥溜了溜了,这个视频太棒了,1,0
792,1451459580,1709893175,211490961072,169350058,RD_J,没有人知道下一块拼图究竟将会是何处，但是一个又一个试错的人们将拼图一块一块的放在一起，所有的拼图合为一体的那一刻。那正是一场伟大的奇迹,4,0
837,1451459580,1709875761,211456945488,312735723,安静的转着白色风车,氮化镓生长衬底蓝宝石就是三氧化二铝,1,0
600,1451459580,1709997209,211684976576,31622048,仗剑需交天下士,看到最后才发现中村真实身份竟然是《爱死机·齐马蓝》里的齐马[星星眼],1,0
38,1451459580,1712216889,215370330048,326158331,骑砍2何时出,这一期做的太好了，有科普，有人文，有情怀，结构和逻辑都很舒畅，我都看了无数遍。科普片的标杆，,1,0
1805,1451459580,1709720815,211218906880,3493122285767400,安徽安徽安徽安徽,为什么中村不去朝鲜发展,1,0
